Private Entity,External URI,Confidence
http://example.org/kb/EastFaadeOfTheLouvre,Not Found,0.0
http://example.org/kb/LeParthnon,Not Found,0.0
http://example.org/kb/Espagne,http://www.wikidata.org/entity/Q29,0.99
http://example.org/kb/GoldenPalace,http://www.wikidata.org/entity/Q5579696,0.99
http://example.org/kb/VillaKrylos,Not Found,0.0
http://example.org/kb/TemploMayorAndTheCoyolxauhquiStone,Not Found,0.0
http://example.org/kb/Capferrat,http://www.wikidata.org/entity/Q2974301,0.99
http://example.org/kb/LeParthnon,Not Found,0.0
http://example.org/kb/Egypt,http://www.wikidata.org/entity/Q79,0.99
http://example.org/kb/Bangkok,http://www.wikidata.org/entity/Q1861,0.99
http://example.org/kb/BanqueDeFrance,http://www.wikidata.org/entity/Q116205795,0.99
http://example.org/kb/London,http://www.wikidata.org/entity/Q84,0.99
http://example.org/kb/Sernpre,Not Found,0.0
http://example.org/kb/TheMonadnockBuilding,Not Found,0.0
http://example.org/kb/Ocrejaune,Not Found,0.0
http://example.org/kb/WallMinbarIwanSquinch,Not Found,0.0
http://example.org/kb/ArtNouveau,http://www.wikidata.org/entity/Q34636,0.99
http://example.org/kb/AngkorWat,http://www.wikidata.org/entity/Q43473,0.99
http://example.org/kb/HistoriqueOrganise,Not Found,0.0
http://example.org/kb/Art,http://www.wikidata.org/entity/Q8227356,0.99
http://example.org/kb/ChurchOfStegenevive,Not Found,0.0
http://example.org/kb/Giornalista,http://www.wikidata.org/entity/Q1930187,0.99
http://example.org/kb/TheEuropeanPalacesOfTheQianlongEmperor,Not Found,0.0
http://example.org/kb/EchocardiographicAndAngiographicCharacteristics,Not Found,0.0
http://example.org/kb/Rome,http://www.wikidata.org/entity/Q220,0.99
http://example.org/kb/Mdiathque,Not Found,0.0
http://example.org/kb/CongrsInternationalDarchitectureModerne,Not Found,0.0
http://example.org/kb/Trier,http://www.wikidata.org/entity/Q33534940,0.99
http://example.org/kb/HagiaSophia,http://www.wikidata.org/entity/Q12506,0.99
http://example.org/kb/Objective,http://www.wikidata.org/entity/Q4503831,0.99
http://example.org/kb/Paris,http://www.wikidata.org/entity/Q90,0.99
http://example.org/kb/TheParisOpra,Not Found,0.0
http://example.org/kb/ArtAndArchitectureOfSaintCatherinesMonasteryAtMountSinai,Not Found,0.0
http://example.org/kb/Nonch,http://www.wikidata.org/entity/Q1996173,0.99
http://example.org/kb/LaVilla,http://www.wikidata.org/entity/Q34804,0.99
http://example.org/kb/Samarra,http://www.wikidata.org/entity/Q170047,0.99
http://example.org/kb/Leonora,http://www.wikidata.org/entity/Q16278348,0.99
http://example.org/kb/InstitutDeFrance,http://www.wikidata.org/entity/Q377066,0.99
http://example.org/kb/KilwaKisiwani,http://www.wikidata.org/entity/Q1741475,0.99
http://example.org/kb/AndInflammatoryDisorders,Not Found,0.0
http://example.org/kb/Syria,http://www.wikidata.org/entity/Q858,0.99
http://example.org/kb/Chapel,http://www.wikidata.org/entity/Q108325,0.99
http://example.org/kb/Spa,http://www.wikidata.org/entity/Q1321,0.99
http://example.org/kb/MargaretStreetExpressTheIdealsOfTheOxford,Not Found,0.0
http://example.org/kb/Padova,http://www.wikidata.org/entity/Q617,0.99
http://example.org/kb/Pontremoli,http://www.wikidata.org/entity/Q52240,0.99
http://example.org/kb/FaadesOrnementes,Not Found,0.0
http://example.org/kb/Bukhara,http://www.wikidata.org/entity/Q5764,0.99
http://example.org/kb/With,http://www.wikidata.org/entity/Q852660,0.99
http://example.org/kb/FondationHoldsMoralRightsOverHisWorks,Not Found,0.0
http://example.org/kb/Khajuraho,http://www.wikidata.org/entity/Q178948,0.99
http://example.org/kb/FaubourgSainthonor,Not Found,0.0
http://example.org/kb/Mali,http://www.wikidata.org/entity/Q912,0.99
http://example.org/kb/GlobalHistoryOfArchitectureSyllabus,Not Found,0.0
http://example.org/kb/Manchester,http://www.wikidata.org/entity/Q18125,0.99
http://example.org/kb/CzechRepublic,http://www.wikidata.org/entity/Q213,0.99
http://example.org/kb/RoyalPavilion,http://www.wikidata.org/entity/Q62364,0.99
http://example.org/kb/RelianceBuilding,http://www.wikidata.org/entity/Q786387,0.99
http://example.org/kb/OpraDeParis,Not Found,0.0
http://example.org/kb/Constantine,http://www.wikidata.org/entity/Q187346,0.99
http://example.org/kb/OpraDeParis,Not Found,0.0
http://example.org/kb/Babylon,http://www.wikidata.org/entity/Q1750870,0.99
http://example.org/kb/DerniresActualitsFondation,Not Found,0.0
http://example.org/kb/HousesOfParliament,http://www.wikidata.org/entity/Q62408,0.99
